Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-03-13,3,13,Sha'ban,10,6:18,6:45,7:48,1:46,1:50,4:59,5:30,7:39,7:44,8:54,9:15
2022-03-14,3,14,Sha'ban,11,6:16,6:45,7:46,1:46,1:50,5:00,5:30,7:40,7:45,8:55,9:15
2022-03-15,3,15,Sha'ban,12,6:14,6:45,7:45,1:46,1:50,5:00,5:30,7:41,7:46,8:56,9:15
2022-03-16,3,16,Sha'ban,13,6:13,6:45,7:43,1:46,1:50,5:01,5:30,7:42,7:47,8:57,9:15
2022-03-17,3,17,Sha'ban,14,6:11,6:45,7:41,1:46,1:50,5:02,5:30,7:43,7:48,8:58,9:15
2022-03-18,3,18,Sha'ban,15,6:09,6:30,7:40,1:45,1:50,5:02,5:30,7:44,7:49,8:59,9:30
2022-03-19,3,19,Sha'ban,16,6:08,6:30,7:38,1:45,1:50,5:03,5:30,7:46,7:51,9:00,9:30
2022-03-20,3,20,Sha'ban,17,6:06,6:30,7:36,1:45,1:50,5:03,5:30,7:47,7:52,9:01,9:30
2022-03-21,3,21,Sha'ban,18,6:04,6:30,7:34,1:44,1:50,5:04,5:30,7:48,7:53,9:02,9:30
2022-03-22,3,22,Sha'ban,19,6:03,6:30,7:33,1:44,1:50,5:05,5:30,7:49,7:54,9:03,9:30
2022-03-23,3,23,Sha'ban,20,6:01,6:30,7:31,1:44,1:50,5:05,5:30,7:50,7:55,9:04,9:30
2022-03-24,3,24,Sha'ban,21,5:59,6:30,7:29,1:44,1:50,5:06,5:30,7:51,7:56,9:05,9:30
2022-03-25,3,25,Sha'ban,22,5:57,6:15,7:27,1:43,1:50,5:06,5:30,7:52,7:57,9:05,9:30
2022-03-26,3,26,Sha'ban,23,5:55,6:15,7:26,1:43,1:50,5:07,5:30,7:54,7:59,9:06,9:30
2022-03-27,3,27,Sha'ban,24,5:53,6:15,7:24,1:43,1:50,5:07,5:30,7:55,8:00,9:07,9:30
2022-03-28,3,28,Sha'ban,25,5:51,6:15,7:22,1:42,1:50,5:08,5:30,7:56,8:01,9:08,9:30
2022-03-29,3,29,Sha'ban,26,5:49,6:15,7:20,1:42,1:50,5:08,5:30,7:57,8:02,9:09,9:30
2022-03-30,3,30,Sha'ban,27,5:47,6:15,7:19,1:42,1:50,5:09,5:30,7:58,8:03,9:10,9:30
2022-03-31,3,31,Sha'ban,28,5:45,6:15,7:17,1:41,1:50,5:10,5:30,7:59,8:04,9:11,9:30
2022-04-01,4,1,Sha'ban,29,5:43,6:00,7:15,1:41,1:50,5:10,5:45,8:00,8:05,9:12,9:45
2022-04-02,4,2,Ramadan,1,5:41,6:00,7:14,1:41,1:50,5:10,5:45,8:01,8:11,9:13,9:45
2022-04-03,4,3,Ramadan,2,5:39,6:00,7:12,1:41,1:50,5:11,5:45,8:03,8:13,9:14,9:45
2022-04-04,4,4,Ramadan,3,5:37,6:00,7:10,1:40,1:50,5:11,5:45,8:04,8:14,9:15,9:45
2022-04-05,4,5,Ramadan,4,5:35,6:00,7:08,1:40,1:50,5:12,5:45,8:05,8:15,9:16,9:45
2022-04-06,4,6,Ramadan,5,5:33,6:00,7:07,1:40,1:50,5:12,5:45,8:06,8:16,9:17,9:45
2022-04-07,4,7,Ramadan,6,5:32,6:00,7:05,1:39,1:50,5:13,5:45,8:07,8:17,9:18,9:45
2022-04-08,4,8,Ramadan,7,5:30,5:45,7:03,1:39,1:50,5:13,5:45,8:08,8:18,9:19,9:45
2022-04-09,4,9,Ramadan,8,5:28,5:45,7:02,1:39,1:50,5:14,5:45,8:09,8:19,9:19,9:45
2022-04-10,4,10,Ramadan,9,5:26,5:45,7:00,1:39,1:50,5:14,5:45,8:10,8:20,9:20,9:45
2022-04-11,4,11,Ramadan,10,5:24,5:45,6:58,1:38,1:50,5:15,5:45,8:12,8:22,9:21,9:45
2022-04-12,4,12,Ramadan,11,5:22,5:45,6:57,1:38,1:50,5:15,5:45,8:13,8:23,9:22,9:45
2022-04-13,4,13,Ramadan,12,5:20,5:45,6:55,1:38,1:50,5:15,5:45,8:14,8:24,9:23,9:45
2022-04-14,4,14,Ramadan,13,5:18,5:45,6:54,1:37,1:50,5:16,5:45,8:15,8:25,9:24,9:45
2022-04-15,4,15,Ramadan,14,5:17,5:30,6:52,1:37,1:50,5:16,5:45,8:16,8:26,9:25,10:00
2022-04-16,4,16,Ramadan,15,5:15,5:30,6:50,1:37,1:50,5:17,5:45,8:17,8:27,9:26,10:00
2022-04-17,4,17,Ramadan,16,5:13,5:30,6:49,1:37,1:50,5:17,5:45,8:18,8:28,9:27,10:00
2022-04-18,4,18,Ramadan,17,5:11,5:30,6:47,1:37,1:50,5:17,5:45,8:19,8:29,9:28,10:00
2022-04-19,4,19,Ramadan,18,5:09,5:30,6:46,1:36,1:50,5:18,5:45,8:21,8:31,9:29,10:00
2022-04-20,4,20,Ramadan,19,5:08,5:30,6:44,1:36,1:50,5:18,5:45,8:22,8:32,9:30,10:00
2022-04-21,4,21,Ramadan,20,5:06,5:30,6:43,1:36,1:50,5:18,5:45,8:23,8:33,9:31,10:00
